name,constituency
Bryan Hughes,District 1
Bob Hall,District 2
Robert Nichols,District 3
Brandon Creighton,District 4
Charles Schwertner,District 5
Carol Alvarado,District 6
Paul Bettencourt,District 7
Angela Paxton,District 8
Kelly Hancock,District 9
Beverly Powell,District 10
Larry Taylor,District 11
Jane Nelson,District 12
Borris Miles,District 13
Sarah Eckhardt,District 14
John Whitmire,District 15
Nathan Johnson,District 16
Joan Huffman,District 17
Lois Kolkhorst,District 18
Roland Gutierrez,District 19
"Juan ""Chuy"" Hinojosa",District 20
Judith Zaffirini,District 21
Brian Birdwell,District 22
Royce West,District 23
Dawn Buckingham,District 24
Donna Campbell,District 25
José Menéndez,District 26
"Eddie Lucio, Jr.",District 27
Charles Perry,District 28
César Blanco,District 29
Drew Springer,District 30
Kel Seliger,District 31
