@@,name
---,Nathan M. Johnson
---,Juan Hinojosa
---,Jose Menendez
---,"Drew Springer, Jr."
---,Cesar Blanco
---,Bryan Hughes
---,Bryan Hughes
+++,Nathan Johnson
+++,"Juan ""Chuy"" Hinojosa"
+++,José Menéndez
+++,Drew Springer
+++,César Blanco
+++,Bryan Hughes
